title,salary,address,keyword,work_experience,education,company,welfare,requirements,url
电商数据分析(双休+五险一金+餐补),6千-8千,杭州,"五险一金
年底双薪
绩效奖金
餐补
节日福利
高温补贴
周末双休",经验不限,中专,杭州挪蒙广告设计有限公司,"五险一金
年底双薪
绩效奖金
餐补
节日福利
高温补贴
周末双休","职位描述

职位信息
一、岗位职能：
1、帮助分析师利用通用的大数据分析工具采集、分析、总结互联网相关数据；
2、帮助监控整理日常数据，为项目提供数据分析报告；
二、任职要求：
1、全日制专科及以上学历，数理统计、计算机等相关专业优先；
2、追求高薪有挑战性工作，有上进心的优先考虑；
3、有执行力、逻辑分析、业务理解以及沟通能力。
三、福利待遇：
1、工作时间：周一至周五，8.30-17:30，周末双休；
2、公司提供住宿以及餐补；
3、为员工购买五险一金，让员工无后顾之忧；
4、法定节假日正常休息，生日、端午、中秋等每个节日都有意外惊喜；
5、奖金：带薪年假，季度奖金，项目奖金，年度表现优异者将会得到更多奖金；
6、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！",https://jobs.zhaopin.com/CC668039620J00207801103.htm
大数据研究员,8千-1万,北京,"五险一金
绩效奖金
定期体检
带薪年假
周末双休
餐补",3-5年,本科,中国金融电子化公司,"五险一金
绩效奖金
定期体检
带薪年假
周末双休
餐补","职位描述
岗位职责：
1、参与设计、研发大数据处理平台；
2、从事大数据的消息队列、分布式计算、实时流计算的研发；
3、从事数据挖掘、搜索的研发，负责数据仓库中的数据计算ETL、数据仓库的设计、开发、维护；
4、从事与金融科技行业相关的监管政策研究和支撑工作。
任职要求：
1、本科以上学历，计算机、数学或相关专业，35岁以下；
2、熟悉（Java/Python/php）一种以上语言编程；
3、两年以上大数据处理工作经验，熟悉MongoDB、Redis开发经验，有Storm、Spark、Kafka，flume相关开发经验者优先；
4、有ETL、数据仓库、数据可视化相关开发经验者优先；
5、有Hadoop生态圈以及solr、elasticSearch开发经验者优先。",https://jobs.zhaopin.com/CC000555233J00117746415.htm
数据仓库工程师,8千-1.3万,石家庄,"节日福利
每年多次调薪
周末双休
五险一金
绩效奖金
带薪年假
定期体检
员工旅游",3-5年,本科,张家口幸福金融科技有限公司,"节日福利
每年多次调薪
周末双休
五险一金
绩效奖金
带薪年假
定期体检
员工旅游","职位描述
技能要求：
数据挖掘
ETL
数据仓库
数据分析
1、理解使用Hadoop/spark/kafka/storm等大数据处理技术;
2、理解数据仓库理论基础，理解数据仓库模型设计，应用层建设有相关的经验； 
3、具备数据库开发技术，具备海量数据加工处理（ETL）相关经验； 
4、理解数据仓库模型建模理论、OLAP，精通大型数据库技术，至少熟悉mysql、DB2、Oracle、Teradata、Greenplum等主流数据仓库模型设计之一；
5、对于数据质量控制、元数据、主数据管理等，有科学的管理工具的使用经验；
6、较强的逻辑思考能力，能梳理清晰的表层需求与数仓层级设计关系；1、理解使用Hadoop/spark/kafka/storm等大数据处理技术;
2、理解数据仓库理论基础，理解数据仓库模型设计，应用层建设有相关的经验； 
3、具备数据库开发技术，具备海量数据加工处理（ETL）相关经验； 
4、理解数据仓库模型建模理论、OLAP，精通大型数据库技术，至少熟悉mysql、DB2、Oracle、Teradata、Greenplum等主流数据仓库模型设计之一；
5、对于数据质量控制、元数据、主数据管理等，有科学的管理工具的使用经验；
6、较强的逻辑思考能力，能梳理清晰的表层需求与数仓层级设计关系；",https://jobs.zhaopin.com/CC569810331J00134129213.htm
园林环保IT大数据分析（实习生）,8千-1万,北京,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金",无经验,大专,北京联科博远教育科技有限公司,"无试用期
免息房贷
年终分红
绩效奖金
年底双薪
五险一金","职位描述
薪资待遇：
1、银行、金融机构、电信、上市科技公司等，从事大数据分析工作；
2、签订正式劳动合同、办理组织关系迁转、享受国家规定的保险福利待遇；
3、入职第一个月专科月薪8000元起、本科9000元起，第二年起薪高于10000元/月，平均年薪12万元或更高。
晋级空间：初级大数据分析工程师→中级分析工程师→高级技术专家→高层管理/CTO

薪资待遇：
1、试用期一个月，试用期综合工资7000，转正后综合工资7500-9500 （可面议）；
2、公司缴纳五险一金，签订正式合同
3、逢年过节发放节日礼品，聚餐等；
4、按季度组织省外出旅游等；
5、定期体检等；
6、按季度评比出优秀员工进行培养和加薪（必要时晋升）；
7、公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富；
8、公司注重员工培养，给予晋升机会，管理层主要员工中培养、提拔
9.高额的年终奖金，每位员工都会有年终奖金，服务公司时间越长，年终奖金会越高，逐年递增",https://jobs.zhaopin.com/CZ638945620J00078567513.htm
大数据开发工程师,1万-2万,郑州,无,3-5年,本科,河南金明源信息技术有限公司,"大数据开发工程师
岗位职责 
1、负责基于storm、spark等框架的实时计算平台搭建
2、使用spark、storm进行数据处理，并对相关服务进行调优
3、负责对业务的数据接口开发
任职要求：
1、3年以上大数据开发相关工作经验， 精通JAVA、熟悉scala、python、R中的一种或多种语言；
2、精通Hadoop/Spark、Hive、Storm、Kafka等主流大数据技术，并能设计相关数据模型；
3、负责数据平台的设计、开发、维护与优化，满足上层数据运营体系、BI分析、数据产品开发、数据挖掘等需求；
4、很强的学习、分析和解决问题能力，可以迅速掌握业务逻辑并转化为技术方案；
5、有机器学习、深度学习实际项目经验者优先；","职位描述
大数据开发工程师
岗位职责 
1、负责基于storm、spark等框架的实时计算平台搭建
2、使用spark、storm进行数据处理，并对相关服务进行调优
3、负责对业务的数据接口开发
任职要求：
1、3年以上大数据开发相关工作经验， 精通JAVA、熟悉scala、python、R中的一种或多种语言；
2、精通Hadoop/Spark、Hive、Storm、Kafka等主流大数据技术，并能设计相关数据模型；
3、负责数据平台的设计、开发、维护与优化，满足上层数据运营体系、BI分析、数据产品开发、数据挖掘等需求；
4、很强的学习、分析和解决问题能力，可以迅速掌握业务逻辑并转化为技术方案；
5、有机器学习、深度学习实际项目经验者优先；",https://jobs.zhaopin.com/CC187870115J00231345404.htm
外贸资讯顾问（18年稳定平台 大数据龙头）,8千-1万,武汉,"周末双休
五险一金
绩效奖金
员工旅游
节日福利
交通补助
带薪年假",经验不限,大专,环球慧思(北京)数据技术有限公司,"周末双休
五险一金
绩效奖金
员工旅游
节日福利
交通补助
带薪年假","职位描述
官 宣
    环球慧思是中国重汽、中国中化集团、中国铝业、中国远洋、中国建材、中牧实业、中粮、贵州茅台、海信、云南白药、TCL等大型知名企业的外贸数据服务提供商。现面向社会诚聘精英。

福利待遇：
1、晋升：外贸资讯顾问→销售主管→销售经理→销售总监，制度及标准公开、公正，晋升周期取决于个人能力；
2、培训：带薪岗前培训+入职经理指导+公司系统、集中培训；
3、待遇：
●无责任底薪（3200-8500）+高比例提成+绩效工资+奖金（月度奖、季度奖、年终奖）+丰厚额外奖品，五险一金；
●8小时工作制，周末双休，法定节假日正常休息，国外旅游，不定期团建活动（聚餐、旅游等）；
●自由舒适的工作环境，公开公平的晋升机制。
岗位要求：
1、20-28岁之间，大专及以上学历；
2、具备独立思考的能力，目标明确，执行力强；
3、有自己的生活和职业追求，并愿意为实现目标不懈奋斗；
4、踏实稳重，学习及领悟能力强，有越挫越勇的毅力；
5、对互联网大数据行业感兴趣或有一定了解。
岗位职责：
1、根据公司既有客户资源，开发及筛选优质高端外贸出口型企业客户群；
2、与外贸出口型企业老板进行直接对接、洽谈，做好客户跟进，完成商务谈判、合同签订、客户回款等一系列工作；
3、在岗位上不断学习专业知识及专业技能，成长为具备核心竞争力、可与公司共同发展、共同进步的优质精英人才。


我们不在乎你之前如何谋生，只想知道你有何渴望，是否敢追逐心中梦想！
我们不关心你英雄来自何处，只想知道面对梦想，你是否无所保留，像个傻瓜般投入的透彻。
我们想知道，当疲倦来袭，伤口痛彻心扉，你能否再次爬起来，为生活付出。

春水初生，春风十里，在我的眼里都不如你。因为公司需要优秀的你！

公司地址：武汉市武昌区中南路7号中商广场B2910室",https://jobs.zhaopin.com/CC202848230J00050855115.htm
数据开发工程师（杭州）,8千-1.6万,杭州,"五险一金
年底双薪
绩效奖金
带薪年假
员工旅游
节日福利
定期体检",1-3年,本科,南京麦思伦信息科技有限公司,"五险一金
年底双薪
绩效奖金
带薪年假
员工旅游
节日福利
定期体检","职位描述
岗位职责：
数据开发岗位负责基于数据中台架构，参与上述行业数据项目中数据开发工作，包括并不限于：数据采集、清洗、加工、转换、数据分析、数据模型设计等。

岗位要求：
1、要求计算机等相关专业本科以上学历；
2、具有数据仓库项目经验，数据模型设计经验；
3、至少熟悉或了解hadoop、MySql、oracle、DB2、sybaseIQ一种或以上的数据库语法/操作，并具有使用或项目实践经验；
4、至少熟练使用shell，python，perl一种或以上脚本语言；具备大数据应用需求分析能力及数据库基础知识优先；
5、有政府行业大数据/BI项目实施经验者优先。",https://jobs.zhaopin.com/CC477894931J00220126406.htm
大数据产品经理-苏州,9千-1.5万,苏州,"五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检
周末双休
节日福利",3-5年,本科,苏州宽连信息技术有限公司,"五险一金
餐补
通讯补助
带薪年假
补充医疗保险
定期体检
周末双休
节日福利","职位描述
职位描述：
1、负责大数据营销产品框架搭建；
2、协同团队实现产品开发、上线；
3、跟进客户反馈，优化迭代产品，建立产品标准化。

任职要求：
1、本科以上学历，3年以上互联网产品经验；
2、负责过大数据营销相关产品，熟悉相关产品搭建及实现过程；
3、具有良好的逻辑思维与系统分析能力，对设计和细节敏感；
4、具有良好的团队协作意识、综合沟通能力，责任心强，抗压性强；
5、熟悉SQL查询，工作经历有My SQl/HIVE等的优先；
6、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感。",https://jobs.zhaopin.com/CC598850326J00349802801.htm
高级前端工程师,6千-1.2万,南京,"周末双休
五险一金",3-5年,本科,中科万城(南京)大数据科技有限公司,"周末双休
五险一金","职位描述
岗位职责：
1.负责公司现有项目和产品前端修改调试和开发工作；
2.与设计团队紧密配合以及与后端平台的对接工作，优化网站前端性能，兼容各大主流浏览器；
3.整体页面结构及杨慧层结构的设计、优化，制作标准优化的代码，并增加标准动态功能；
任职要求：
1.精通H5,vue,angularjs,ember，react+nodejs等主流前端开发语言；
2.熟练掌握javascript、bootstrap；
3.熟悉常用的JS框架，科熟练的套用兵在此基础上做一定的修改，能实现良好的用户体验与新颖的交互方式；
4.熟练使用WEBGL/three.js，有web端bim开发经验的优先考虑。",https://jobs.zhaopin.com/CC708747430J00141574208.htm
电气8K大数据分析师实习生,8千-1万,北京,"14薪
每年多次调薪
周末双休
餐补
年底双薪
不加班
带薪年假
节日福利",无经验,大专,北京联科数创科技有限公司,"14薪
每年多次调薪
周末双休
餐补
年底双薪
不加班
带薪年假
节日福利","职位描述

岗位职责：
1.梳理运营与推广的业务需求，制定数据报表；

2.挖掘数据背后的市场方向、规律、短板，为业务提供决策依据；

3.针对具体的业务事件，研究业务开拓中的局限性或亮点，进行数据分析并提出优化方案或提炼可复制的模板；

4.分析运营与推广需求，固化常规数据报表，提升数据支持运营与推广的能力；

5.通过数据分析工具，高效支持业务端的数据查询需求，包括经营数据，会员数据的查询；

6.数据研究与分析，通过挖掘数据的内在关系，发现运营与推广中的问题，并推动问题的解决；

公司福利：
1、签订正式劳动合同，从试用期开始缴纳五险一金；
2、日常补贴（话费、工作餐、交通费补贴）;
3、薪资保障:享受优质的奖励机制，高底薪+绩效；
4、 晋升管道畅通，一年有四次加薪晋升机会；
5、 正式员工享受十三薪及年终奖；
6、 朝九晚六，周末双休;
7、 每季度员工旅游+员工生日会+节日礼物；
8、 每年享受国家规定的带薪年假、法定节假日等福利；
9、 丰富的企业文化活动，打造快乐活力的工作氛围 ；
10、 提供员工宿舍；
11、 年度体检；工作时间: 早9:00至晚17:30，周末双休。公司不提倡加班",https://jobs.zhaopin.com/CZ808308570J00068439211.htm
数据分析师/数据运营主管,1万-1.5万,杭州,"五险一金
餐补
带薪年假
弹性工作
节日福利
员工旅游
周末双休
定期团建",3-5年,本科,杭州东印化妆品有限公司,"五险一金
餐补
带薪年假
弹性工作
节日福利
员工旅游
周末双休
定期团建","职位描述
技能要求：
数据分析
需求分析
用户研究
岗位职责:
1、负责淘宝天猫等电商渠道运营数据的采集、统计、整理、汇总，定期输出分析报告；
2、建立数据分析方法和模型，开发相关数据报表模板，为数据分析提供必要的方法支持；
3、监控运营数据、解读运营数据的波动，发现问题，及时提出相应的解决方案；
4、基于大数据平台和BI工具，与业务一起构建数据体系，提供必要的数据支持服务，满足销售、运营、财务等部门的日常数据需求；
5、统筹分配任务，参与选型及模型测试结果的评估、BI的设计开发、逻辑的实现等推动项目进程。
任职要求:
1、必须熟练掌握excel；
2、必须具有电商行业工作经历，熟练掌握生意参谋平台； 具备良好的数据分析能力、逻辑推理能力以及沟通表达能力，对数据有较强敏锐度。
3、加分项：信息学、数学、统计学、金融学、计算机科学等相关专业本科以上学历；
4、加分项：掌握Mysql、R/Python者加分",https://jobs.zhaopin.com/CC278897482J00318878405.htm
大数据初级工程师,3千-6千,济南,"14薪
绩效奖金
周末双休
包吃
包住
高温补贴
弹性工作
带薪年假",经验不限,中专,济南首佳科技企业孵化器有限公司,"14薪
绩效奖金
周末双休
包吃
包住
高温补贴
弹性工作
带薪年假","职位描述
岗位职责：1.协助项目Leader 公司的数据分析工作，2.参与挖掘数据分析需求，制定并实施分析方案，并根据数据分析结果为产品的改进提出合理化建议；3.结合分析结果及对业务需求的深入理解，设计业务指标体系及数据产品并驱动研发。职位要求：1，大学本科及以上应、计算机，数学，统计，金融等相关专业；在职程序员可专科；1-3年java经验也可；2，入职可获得《大数据资格证书》（总裁亲自颁发）3，立志在大数据领域深造者4，欢迎应届生投递岗位薪资待遇：1，上岗起薪8000元/月；2，签订正式劳动合同，五险一金；3，每年享受国家规定的带薪年假，法定节假日等福利；4，节假日庆典活动及节日福利；5，按工作年限享受子女教育补助，购房补贴及股份等；",https://jobs.zhaopin.com/CC471527880J00058316513.htm
初级大数据运维工程师,4千-6千,北京,"五险一金
周末双休
节日福利
公司重点项目",经验不限,大专,北京致远宣大科技有限公司,"五险一金
周末双休
节日福利
公司重点项目","职位描述
技能要求：
Hadoop
Linux
数据库
Hive
1、熟悉HADOOP生态组件；
2、熟悉LINUX环境；
3、熟悉SQL语句；
4、会简单的shell脚本。
有相关大数据项目和从业经验的优先考虑。
负责央企大数据平台业务数据导入、运维、简单开发、数据库优化等工作。",https://jobs.zhaopin.com/CC653515620J00122377212.htm
销售储备经理 资深大数据销售 五险一金,6千-1万,成都,"每年多次调薪
周末双休
五险一金
绩效奖金
通讯补助
年终分红
股票期权
加班补助",3-5年,大专,上海云信留客信息科技有限公司,"每年多次调薪
周末双休
五险一金
绩效奖金
通讯补助
年终分红
股票期权
加班补助","职位描述
技能要求：
市场管理
大客户代表
团队建设
目标管理
岗位职责：
1. 根据公司下达的业绩指标要求合理安排工作目标；
2.   联系跟进新老客户，完成销售指标；
3.了解大数据行业，互联网及金融行业的最新政策和信息；
4. 对IT行业有一定的理论和实际经验背景，懂得软件系统的运行基本原理。；
5.适应能力强，能接受大西南地区的出差；
任职要求：
1、年龄20-28周岁，大专及以上学历；
2.1-3年以上销售经验，具有银行、证券、保险行业IT销售经验者优先、IT系统集成项目销售经验及金融行业圈客户资源者优先；
3.性格开朗，勤奋有工作热情； 能承受工作压力；
4.对IT软件系统层次架构理解，了解一至两个金融IT行业的业务形态
薪酬福利：
1、工资：基本工资+绩效工资+工龄工资+通讯补贴+提成
2、员工入职即日起，公司就帮员工购买社保、公积金；一周五天工作制；各类带薪休假（年假、婚假、陪产假、工伤假、丧假、病假、及固定国家法定节假日），提供高于同行业具有竞争力的薪资水平；
3、每年中秋节等节日发放贺礼或礼金；
4、公司转正后的员工可享受结婚致贺礼金人民币1000元；生孩子致贺礼礼金人民币500元；生日当天致贺生日礼金；
5、公司不定期举办一些丰富多彩的文化娱乐、体育、聚餐活动；
6、公司为员工提供各种培训机会，组织各种业务、工作、能力提升等相关内部培训与户外拓展。

上班时间：周一-周五：9:00-18:00，周末双休
地址：成都市高新区天府大道北段1480号孵化园1号楼B座3楼B3-15号",https://jobs.zhaopin.com/CC652745923J00356952401.htm
大数据平台运维工程师,1万-1.5万,北京,"五险一金
定期体检",1-3年,大专,网云易通(北京)科技有限公司,"五险一金
定期体检","职位描述
岗位职责：
1、hadoop平台及其各服务组件的运维、变更、故障和异常问题迅速定位，
2、hadoop平台及其相关组件的规划、部署、扩容及搭建安装
3、定期系统分析、性能调优、优化集群性能和资源利用率，提升集群性能，保证hadoop平台各核心服务运行的稳定、高效
4、编写运维相关的shell脚本或者python脚本，hadoop平台运维相关文档编写
5、知道中低级工程师，为集群用户和开发用户提供支持
任职要求：
1、1年版以上hadoop生态系统运维经验
2、熟练掌握linux操作系统，熟悉内核、网络等性能优化
3、熟练掌握hive、hbase、spark、storm等hadoop生态组件的功能和原理
4、熟悉一门以上脚本语言（shell、python、perl）熟悉Java
5、熟练掌握hadoop的安装部署及性能调优
6、具有良好的责任心，团队合作意识，具有良好的沟通能力和客户服务意识
工作地址：北京市大兴区百度亦庄数据中心",https://jobs.zhaopin.com/CC365379981J00097999209.htm
财务数据处理实习生,2千-4千,南京,无,无经验,本科,万维网络科技有限公司,"岗位职责：
1、负责财务数据资料的初审，添加标签标记等处理
2、将处理好的财务数据资料录入系统
3、做好财务的工作
任职资格：
1、大学本科大三、大四在校生（2019级、2020级毕业生，特别优秀可以放宽到大专）；
2、财务、会计、金融等相关专业学生；
3、辅修过财务、经济、金融、等专业的学生亦可，如二学位、选修课等；
4、熟练使用办公软件
薪资：120/天
上班时间：8:30-17:30或者9:30-18:30，可以自选，打卡8小时即可；
周一至周五上班，连续5天，周末加班可以调休；
未来发展：开具实习证明，实习期间优秀的学生，可以给到正式的入职机会，可内部转岗晋升；
通联数据股份公司是由金融和高科技资深专家发起，万向集团投资成立的一家金融科技公司。致力于将人工智能、大数据、云计算等信息技术和专业的投资理念相结合，打造国际的、具有革命性意义的金融服务平台。通联数据依托于金融大数据，结合人工智能技术打造了基本面研究平台--萝卜投研，大数据和机器智能时代的量化投资平台--优矿，对接资金方和管理人的FOF/MOM管理平台--通联魔方，以及为投资者提供个性化、智能化、专业化投资服务的智能投顾。","职位描述
岗位职责：
1、负责财务数据资料的初审，添加标签标记等处理
2、将处理好的财务数据资料录入系统
3、做好财务的工作
任职资格：
1、大学本科大三、大四在校生（2019级、2020级毕业生，特别优秀可以放宽到大专）；
2、财务、会计、金融等相关专业学生；
3、辅修过财务、经济、金融、等专业的学生亦可，如二学位、选修课等；
4、熟练使用办公软件
薪资：120/天
上班时间：8:30-17:30或者9:30-18:30，可以自选，打卡8小时即可；
周一至周五上班，连续5天，周末加班可以调休；
未来发展：开具实习证明，实习期间优秀的学生，可以给到正式的入职机会，可内部转岗晋升；
通联数据股份公司是由金融和高科技资深专家发起，万向集团投资成立的一家金融科技公司。致力于将人工智能、大数据、云计算等信息技术和专业的投资理念相结合，打造国际的、具有革命性意义的金融服务平台。通联数据依托于金融大数据，结合人工智能技术打造了基本面研究平台--萝卜投研，大数据和机器智能时代的量化投资平台--优矿，对接资金方和管理人的FOF/MOM管理平台--通联魔方，以及为投资者提供个性化、智能化、专业化投资服务的智能投顾。",https://jobs.zhaopin.com/CC846930930J00158245811.htm
基金项目经理,1万-1.5万,青岛,"五险一金
节日福利
定期团建
弹性工作
项目奖金",3-5年,本科,青岛富爱能兴大数据研究院有限公司,"五险一金
节日福利
定期团建
弹性工作
项目奖金","职位描述
主要职责：
1、负责与各地政府开展设立政府引导基金前期洽谈。
2、负责对政府引导基金方案拟定、风险分析、流程设计等工作。
3、负责对接银行、保险、信托、证券等金融机构。
4、负责组织并参与组建基金的相关谈判，相关金融产品设计。
5、负责参与项目尽职调查、可行性研究；对投资项目进行全面的尽职调查，提供投资分析报告，对投资价值与风险进行评估。
6、负责进行项目的投资谈判、合同起草、签约及后续跟进。并确保项目运作符合主管机关的相关规定，保证基金运营合法、合规。
7、完成领导交代的其他工作。
任职要求：
1、本科以上学历，财务、经济或金融类专业；
2、具有2年以上银行、信托、基金公司等金融行业融资工作经验，熟悉政府或地方平台产业项目运作；
3、有证券从业资格、基金从业资格者优先；
4、具有较好的行业与公司研究能力，熟悉国家财政政策、法规和税务的规定，了解投资、融资和工程相关知识敏锐快捷的市场反应能力和较强的风险控制意识；
5、熟悉产品设立和持续维护服务等各环节的商务执行；
6、具备较好的沟通表达能力和协调统筹能力，反应快、责任心和客户服务意识强、工作细心；
7、具备专业的财务知识，具备较强的商业谈判能，写作能力和研究能力；
8、熟练使用办公软件，具备较好的文字撰写能力，能适应出差；
9、有强烈的进取心，懂得并善于跟不同层面的人打交道，不排斥应酬，期待在未来构建更高层次政商关系的优先（待遇也不仅限于页面描述）。
10、形象气质良好，男性最好178以上，女性最好165以上。
联系电话：*************",https://jobs.zhaopin.com/CZ623035730J00092123112.htm
网络销售专员,1万-1.5万,济南,"五险一金
员工旅游
不加班
带薪年假
定期体检
年终分红
全勤奖
通讯补助",经验不限,学历不限,山东云涛大数据服务有限责任公司,"五险一金
员工旅游
不加班
带薪年假
定期体检
年终分红
全勤奖
通讯补助","职位描述
技能要求：
销售
售前支持
1、；利用好公司自身平台客户资源，通过互联网和电话的形式， 宣传及推广公司产品及 开发客户等工作；
2、定期与合作客户进行沟通，建立良好的长期合作关系。

任职资格:
1、做过网络销售或电话营销者优先
2、对销售工作有高的热情，喜欢网络和电话销售，有良好的沟通能力和表达能力，喜欢和客户沟
3.无经验要求, 可接受应届生，有经验者的优先考虑.
4.良好的执行力和团队合作能力.",https://jobs.zhaopin.com/CC845389020J00120464609.htm
BI/大数据产品经理,1万-1.5万,天津,"五险一金
绩效奖金
年终分红
带薪年假
员工旅游
节日福利",3-5年,大专,天津锐网科技股份有限公司,"五险一金
绩效奖金
年终分红
带薪年假
员工旅游
节日福利","职位描述
技能要求：
数据分析
产品策划
大数据产品
岗位职责：
1、负责BI/大数据产品设计，编写产品相关文档，产品宣讲和产品演示；
2、将业务需求转化为产品需求与设计，形成完整的BI/大数据产品设计方案；
3、竞品调研和分析，规划和完善数据产品，对用户体验有一定研究；
岗位要求：
1、计算机、信息管理、软件工程、统计学、数学等相关专业，本科及以上学历；
2、对BI/大数据产品有一定的了解.
3、良好的逻辑思维能力、沟通能力，能够有效整合团队资源推动产品落地；
4、具备产品设计和规划经验，良好的需求分析、具有扎实的产品设计、文档策划功底;
5、熟练使用axure/磨刀等原型设计工具.
6、有BI工具（PowerBI、Tableau、Cognos、Growingio、帆软等BI/大数据产品）相关使用或设计经验者优先；
7、熟悉SQL/HQL语句，有数据分析系统设计、报表系统设计经验者优先。",https://jobs.zhaopin.com/CC274047882J00123800014.htm
初级大数据运维工程师,4千-6千,北京,"五险一金
周末双休
节日福利
公司重点项目",经验不限,大专,北京致远宣大科技有限公司,"五险一金
周末双休
节日福利
公司重点项目","职位描述
技能要求：
Hadoop
Linux
数据库
Hive
1、熟悉HADOOP生态组件；
2、熟悉LINUX环境；
3、熟悉SQL语句；
4、会简单的shell脚本。
有相关大数据项目和从业经验的优先考虑。
负责央企大数据平台业务数据导入、运维、简单开发、数据库优化等工作。",https://jobs.zhaopin.com/CC653515620J00122377112.htm
大数据开发工程师,1万-1.5万,杭州,"五险一金
大小周
餐补
带薪年假
节日福利
员工旅游",1-3年,本科,网聚海数(杭州)数据科技有限公司,"五险一金
大小周
餐补
带薪年假
节日福利
员工旅游","职位描述
岗位职责：
1.负责运营商数据分析平台、精准营销系统的设计和开发；
2.负责运营商数据仓库ETL的开发，以及相关数据产品的设计与开发；
3.负责用户画像相关工作。

任职资格：
1.具有数据仓库相关开发经验，如ETL，建模等，熟悉数据仓库模型；
2.熟练应用主流关系型数据库，精通SQL，有一定的SQL编写和优化调优经验；
3.有用户画像模型构建经验者优先，有数据分析产品开发经验者优先；
4.对数据领域技术栈：Hbase，HADOOP，spark，hive等技术熟悉，以及对各种数据处理算法感兴趣者优先；
5.至少熟悉JAVA/SCALA/PYTHON中的一种，接触、了解过运营商数据优先；
6.良好的沟通能力及团队合作精神，耐心细致，责任心强，能承受较大的工作压力。",https://jobs.zhaopin.com/CC692915080J00316335405.htm
化工/环境科学/环保9k大数据分析工程师,8千-1万,北京,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假",经验不限,学历不限,北京海中科技有限公司,"五险一金
年底双薪
绩效奖金
年终分红
股票期权
餐补
定期体检
带薪年假","职位描述
技能要求：
化工
环保
科学
化学
医疗
工厂
 ·             大数据分析师工程师（可内训）
企业招聘：
上市公司从事大数据分析师工程师工作。
第一年工资专科：6000-10000元/月、本科以上：8000-12000元/月；
第二年工资专科：8000-12000元/月、本科以上：15000-20000元/月
【岗位方向】：
大数据分析师、
BI需求工程师、
DBA，
数据库管理员。
【工作内容】：
1、支持公司各业务部门的数据需求，从数据仓库中提取数据并反馈给业务部门；
2、抽象业务需求形成固化的报表，为公司凝练系统化的业务分析与决策支持系统；
3、配合其他分析师一起构建并完善公司各业务数据分析体系，帮助公司进行业务监控并参与重大战略决策分析；
4、负责业务核心指标的监控和跟踪分析，并对异常波动情况进行分析和问题定位。
【福利待遇】：  
1、签订正式合同、六险一金等。
2、在京工作一年后要求回当地工作的，可申请调回当地省会城市的分公司或合作企业工作。
3、接受岗前内训，实训期间不用支付任何费用，并且每月享有项目提成补助（1000-3000元/月不等）。

无经验者，由公司项目经理带！
【任职要求】：  
1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。
2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；
3.    拥有出色的沟通能力和学习能力；
4.    拥有优秀的分析问题和解决问题能力；
5.    具备勇于创新，乐于接受挑战，承受压力的良好素质；
6.    性格积极开朗，坦诚正直。
  【温馨提示】：每日简历投递量非常大，欢迎主动与我联系。
期待您的加入！",https://jobs.zhaopin.com/CZ840256990J00115463111.htm
大数据销售经理（金融类）,1万-2万,上海,"绩效奖金
通讯补助
五险一金
餐补
带薪年假
节日福利
公司重点项目
全额公积金",1-3年,本科,上海迈一数据科技有限公司,"绩效奖金
通讯补助
五险一金
餐补
带薪年假
节日福利
公司重点项目
全额公积金","职位描述
职位描述：
1、独立负责开发金融行业新客户，负责整体金融项目的跟踪和协调，完成销售指标；
2、负责收集销售区域内有关客户、竞争对手等市场信息，对区域内市场进行分析和评估并提出建议予以报告；
3、负责与客户建立关系，运用各种销售工具开发客户，签订销售合同；
4、负责区域内老客户的定期拜访、沟通，维护客户关系，继续开发；
5、积极发展、建立新客户，扩大公司业务量，为金融行业的客户提供针对性解决方案；
 6、挖掘并发展高忠诚度的渠道商；
 7、收集并分析产品以及解决方案销售信息，为公司决策提供参考意见；
职位要求：
1、本科及以上学历，金融、保险、经济等相关专业；
2、2年以上金融行业的销售经验，有银行、保险、互联网信贷金融行业背景者优先；具有一定的金融行业客户资源；
3、具备良好的沟通能力、人际关系处理能力和团队精神；
4、富有工作激情，热爱销售工作，责任心强，稳重，工作踏实，好学；
5、具有良好的逻辑思维，能有效分析顾客需求并提出解决方案；
6、了解产品知识及行业动态，对市场有敏锐的观察力。",https://jobs.zhaopin.com/CZ844998470J00188956108.htm
